PP%,SemiFinal
22.9,1
22.14,0
22.04,1
21.25,0
20.27,1
19.62,0
19.35,0
18.85,0
18.7,1
18.64,0
17.07,0
16.09,0
16.06,0
15.71,0
14.82,0
14.04,0
20.68,0
20.33,1
18.55,0
18.02,1
17.88,0
17.42,0
16.86,0
16.62,0
16.25,0
16.11,1
15.99,0
15.59,0
15.47,1
14.95,0
13.78,0
13,0
23.82,0
21.23,1
20.76,0
20.46,0
18.96,0
18.73,0
18.15,0
17.9,0
17.55,0
17.22,0
16.09,1
15.1,0
14.51,0
14.33,0
14.12,1
11.88,1
21.62,0
20.7,1
20.39,0
20.11,0
20.06,0
17.89,0
17.24,0
16.82,0
16.62,1
16.62,0
16.35,0
16.22,1
16,0
15.85,0
15.13,1
14.89,0
22.13,0
21.17,1
20.82,0
19.22,0
18.82,0
18.78,0
18.36,0
18.2,0
18.2,0
18.14,1
18.13,1
18.02,0
17.89,1
17.69,0
17.67,0
16.7,0
22.44,0
22.36,1
20.3,0
18.95,0
18.5,0
18.47,0
18.45,0
18.2,0
18.1,0
17.87,1
17.71,0
17.44,1
17.4,0
17.2,0
16.96,1
16.46,0
24.06,0
21.82,1
20.72,1
20.37,1
18.93,0
18.79,0
18.72,0
18.29,0
18.08,1
17.55,0
16.76,0
16.62,0
16.49,0
15.63,0
14.8,0
14.63,0
25.5,1
25.22,0
24.17,0
23.64,0
23.62,0
22.47,0
20.51,0
19.28,1
19.25,0
18.89,0
18.77,0
18.72,1
17.22,1
17.04,0
13.87,0
12.73,0
25.24,0
21.84,1
21.38,1
21.05,0
21.04,1
20.85,0
19.22,0
18.75,0
18.06,0
17.69,1
17.57,0
17.18,0
16.9,0
16.6,0
16.43,0
14.65,0
24.32,1
23.51,0
23.45,1
23.1,0
22.26,0
20.54,1
19.66,0
19.35,0
17.49,0
16.9,0
16.61,0
16.17,1
16.15,0
15.92,0
15.76,0
15.24,0
21.6,0
21.11,0
19.79,0
19.72,0
19.7,0
18.53,0
18.15,0
17.23,1
17.2,0
16.96,1
16.73,0
16.73,0
16.11,0
15.71,1
15.16,0
13.55,1
23.38,0
21.74,0
19.84,0
19.79,0
19.73,0
19.46,1
19.29,0
18.52,0
18.18,1
17.86,0
17.73,0
17.2,1
17.18,0
16,0
15.86,0
15.14,1
25.32,0
23.81,0
22.31,0
19.33,0
19.29,0
18.82,0
18.79,1
18.73,0
17.84,0
17.69,1
16.81,1
16.79,0
16.53,0
16.22,0
15.85,0
15.68,1
22.86,0
22.62,0
22.55,1
22.14,0
21.91,0
21.52,1
20,0
19.69,0
18.93,0
18.8,0
18.78,0
18.58,0
18.53,0
18.39,1
16.91,0
15.77,1
23.36,0
23.08,1
22.98,0
22.86,0
21.72,0
21.28,0
20.98,0
20.26,0
20.16,0
19.91,0
19.57,0
18.92,1
18.73,1
18.03,0
16.93,1
16.67,0
