PP%,PK%,SemiFinal
22.9,84.69,1
22.14,85.71,0
22.04,82.75,1
21.25,84.14,0
20.27,80.74,1
19.62,86.2,0
19.35,81.15,0
18.85,87.18,0
18.7,85.35,1
18.64,86.43,0
17.07,80.88,0
16.09,88.02,0
16.06,84.97,0
15.71,82.48,0
14.82,83.77,0
14.04,86.17,0
20.68,86.61,0
20.33,86.01,1
18.55,84.96,0
18.02,86.98,1
17.88,81.47,0
17.42,85.22,0
16.86,83.77,0
16.62,84.36,0
16.25,85.79,0
16.11,83.73,1
15.99,85.83,0
15.59,83.15,0
15.47,84.45,1
14.95,86.28,0
13.78,87.11,0
13,86.35,0
23.82,85.41,0
21.23,84.94,1
20.76,84.06,0
20.46,81.75,0
18.96,85.55,0
18.73,82.45,0
18.15,82.67,0
17.9,82.59,0
17.55,86.85,0
17.22,81.25,0
16.09,87.39,1
15.1,83.46,0
14.51,82.62,0
14.33,85.21,0
14.12,81.46,1
11.88,87.88,1
21.62,83.57,0
20.7,83.33,1
20.39,83.75,0
20.11,83.42,0
20.06,86.75,0
17.89,84.55,0
17.24,82.48,0
16.82,81.77,0
16.62,85.27,1
16.62,85.52,0
16.35,85.34,0
16.22,84.89,1
16,83.58,0
15.85,85.85,0
15.13,84.68,1
14.89,86.11,0
22.13,85.47,0
21.17,86.56,1
20.82,84.66,0
19.22,81.08,0
18.82,84.6,0
18.78,83.74,0
18.36,84.62,0
18.2,84.25,0
18.2,80.7,0
18.14,84.1,1
18.13,83.53,1
18.02,79.14,0
17.89,81.8,1
17.69,81.95,0
17.67,83.73,0
16.7,81.59,0
22.44,83.33,0
22.36,85.12,1
20.3,82.1,0
18.95,85.96,0
18.5,84.35,0
18.47,83.75,0
18.45,78.36,0
18.2,80.43,0
18.1,81.76,0
17.87,84.52,1
17.71,85.24,0
17.44,81.35,1
17.4,85.9,0
17.2,86.93,0
16.96,84.56,1
16.46,79.8,0
24.06,82.46,0
21.82,83.25,1
20.72,84.03,1
20.37,80.95,1
18.93,85.15,0
18.79,80.52,0
18.72,85.81,0
18.29,81.05,0
18.08,85.59,1
17.55,78.61,0
16.76,81.49,0
16.62,83.09,0
16.49,84.55,0
15.63,82.8,0
14.8,85.37,0
14.63,81.4,0
25.5,78.29,1
25.22,80.62,0
24.17,83.22,0
23.64,82.35,0
23.62,79.74,0
22.47,82.95,0
20.51,83.75,0
19.28,80.61,1
19.25,82.43,0
18.89,79.94,0
18.77,81.4,0
18.72,80.4,1
17.22,82.71,1
17.04,83.38,0
13.87,87.84,0
12.73,82.08,0
25.24,78.8,0
21.84,82.96,1
21.38,82.93,1
21.05,81.56,0
21.04,84.88,1
20.85,80.26,0
19.22,83.9,0
18.75,82.92,0
18.06,80.2,0
17.69,84.96,1
17.57,86.62,0
17.18,84.1,0
16.9,84.28,0
16.6,86.4,0
16.43,77.13,0
14.65,84.54,0
24.32,85.58,1
23.51,81.31,0
23.45,79.49,1
23.1,79.22,0
22.26,82.33,0
20.54,83.77,1
19.66,84.4,0
19.35,83,0
17.49,85.62,0
16.9,93.66,0
16.61,82.75,0
16.17,82.64,1
16.15,85.51,0
15.92,78.38,0
15.76,86.11,0
15.24,84.93,0
21.6,83.61,0
21.11,76.89,0
19.79,86.01,0
19.72,87.78,0
19.7,81.82,0
18.53,89.5,0
18.15,81.61,0
17.23,89.58,1
17.2,83.46,0
16.96,87.03,1
16.73,85.82,0
16.73,81.58,0
16.11,81.75,0
15.71,86.15,1
15.16,78.11,0
13.55,85.54,1
23.38,85.04,0
21.74,83.65,0
19.84,80.72,0
19.79,85.67,0
19.73,84.81,0
19.46,81.45,1
19.29,82.14,0
18.52,80.74,0
18.18,85.34,1
17.86,78.8,0
17.73,83.05,0
17.2,85.12,1
17.18,84.93,0
16,82.22,0
15.86,81.37,0
15.14,83.11,1
25.32,81.2,0
23.81,80.9,0
22.31,83.66,0
19.33,85.71,0
19.29,84.84,0
18.82,80.65,0
18.79,83.66,1
18.73,77.88,0
17.84,81.82,0
17.69,83.41,1
16.81,84.26,1
16.79,82.88,0
16.53,83.66,0
16.22,80.77,0
15.85,86.32,0
15.68,81.02,1
22.86,87.24,0
22.62,80.26,0
22.55,80.51,1
22.14,82.26,0
21.91,85.16,0
21.52,85.14,1
20,81.4,0
19.69,81.22,0
18.93,80.53,0
18.8,81.55,0
18.78,84.48,0
18.58,78.19,0
18.53,77.94,0
18.39,84.44,1
16.91,79.48,0
15.77,84.05,1
23.36,82.47,0
23.08,79.77,1
22.98,83.82,0
22.86,80.72,0
21.72,85.71,0
21.28,84.79,0
20.98,82.95,0
20.26,79.91,0
20.16,81.59,0
19.91,82.51,0
19.57,81.12,0
18.92,80.91,1
18.73,84.7,1
18.03,77.73,0
16.93,79.76,1
16.67,80.66,0
